Country Name,NY.GDP.MKTP.CD,IT.NET.SECR.P6,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,SP.POP.TOTL
Aruba,3202188607,1152.617954,73.79939714,74.62640531,105846
Africa Eastern and Southern,9.86611E+11,1164.559933,26.73298682,29.07003282,643090131
Afghanistan,18353881130,52.86248045,,,37171922
Africa Western and Central,7.38131E+11,89.70735043,21.46839455,23.62098133,435229381
Angola,1.01353E+11,11.19774051,40.83628989,25.54182093,30809787
Albania,15147020535,526.0998557,31.59157414,45.26431362,2866376
Andorra,3218316013,5194.265531,,,77008
Arab World,2.68805E+12,136.7243731,46.79569794,38.48516593,419851989
United Arab Emirates,4.22215E+11,1483.963291,93.0481228,66.68065074,9630966
Argentina,5.17627E+11,1872.59091,14.61983125,16.55511029,44494502
Armenia,12457941907,335.0564972,39.39289403,53.08021299,2951741
American Samoa,641000000,450.7672058,68.17472699,103.276131,55461
Antigua and Barbuda,1605351852,841.2787437,64.54867407,70.56533555,96282
Australia,1.43288E+12,32903.58507,21.82190462,21.44074306,24982688
Austria,4.54873E+11,16705.01094,55.69095065,52.41986954,8840521
Azerbaijan,47112941176,329.383846,54.09229386,37.58028267,9939771
Burundi,3036937141,5.995322396,9.401038141,29.80900492,11175379
Belgium,5.43411E+11,13973.2428,82.99557248,83.2593168,11427054
Benin,14250987026,7.313865391,27.29608879,34.54862973,11485035
Burkina Faso,16059910871,2.531457665,28.12932376,32.17397524,19751466
Bangladesh,2.74039E+11,115.9522936,14.80095818,23.44393481,161376713
Bulgaria,66230155100,38223.85562,65.81872506,63.26966258,7025037
Bahrain,37652500000,370.8329086,79.56720683,71.84188555,1569440
"Bahamas, The",13022100000,2357.151192,39.4099262,38.38781763,385635
Bosnia and Herzegovina,20183510561,1934.758534,42.5185183,57.25628487,3323929
Belarus,60031262269,3420.67838,70.45504526,68.93869099,9483499
Belize,1915899787,11595.76162,56.35609376,56.65453668,383071
Bermuda,7224329000,8150.941035,51.26981343,25.85139741,63919
Bolivia,40287647931,130.1842486,25.98879506,31.12116955,11353140
Brazil,1.91695E+12,2036.384135,14.6349995,14.24120388,209469320
Barbados,5086500000,868.6854591,41.28759855,39.70530129,286640
Brunei Darussalam,13567351175,1988.530399,51.93227638,41.96404349,428960
Bhutan,2446866405,177.6255441,30.81770601,55.88719778,754396
Botswana,18663265549,133.5364033,40.33770678,39.17005706,2254067
Central African Republic,2220979145,0.642897324,18.88362441,46.98002245,4666375
Canada,1.72185E+12,30947.02526,32.34534558,34.23650752,37065178
Central Europe and the Baltics,1.64404E+12,21419.37955,64.4001441,61.91128967,102538451
Switzerland,7.35539E+11,68154.75418,66.15565527,53.82097988,8514329
Channel Islands,,,,,170496
Chile,2.97572E+11,8073.29061,28.50718355,28.81443921,18729166
China,1.38948E+13,446.7068276,19.11210354,18.34414004,1392730000
Cote d'Ivoire,58011466451,11.64774692,22.64068269,23.42680369,25069226
Cameroon,38694156863,5.433002141,19.31368819,23.69769428,25216261
"Congo, Dem. Rep.",46831342213,2.81914332,34.337565,37.95201074,84068092
"Congo, Rep.",13642740884,6.101789674,71.17168343,49.10424394,5244363
Colombia,3.34198E+11,651.174232,15.89971968,20.63503312,49661056
Comoros,1178530634,7.208748537,13.24797641,29.84654492,832322
Cabo Verde,1966983316,498.3779728,49.23106403,68.04360937,543764
Costa Rica,62335931464,1205.934341,33.64547866,32.43473182,4999443
Caribbean small states,75432216541,1023.110836,,,7358929
Cuba,1.0005E+11,16.05200709,14.49775112,12.58970515,11338146
Curacao,3127908045,3797.007581,,,159336
Cayman Islands,5522625585,11531.50907,,,64172
Cyprus,25309818139,6372.01895,75.22979044,73.68308213,1189262
Czech Republic,2.4895E+11,42344.59537,76.95916475,71.01933299,10629928
